website,loc,lastmod,cured_name,type
www.kevinrchant.com,https://www.kevinrchant.com/2019/08/07/linux-distributions-you-can-install-sql-server-on/,2021 06 16,linux distributions you can install sql server on,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/09/12/t-sql-tuesday-118-roundup/,2021 06 16,t sql tuesday 118 roundup,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/01/29/starting-to-use-azure-for-the-data-platform-professional/,2021 06 16,starting to use azure for the data platform professional,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/06/04/sql-server-2019-business-cases/,2021 06 16,sql server 2019 business cases,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/09/10/t-sql-tuesday-118-automatic-index-management-levels/,2021 06 16,t sql tuesday 118 automatic index management levels,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/06/11/t-sql-tuesday-115-dear-20-year-old-self/,2021 06 16,t sql tuesday 115 dear 20 year old self,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/31/alternative-data-platform-new-years-post/,2021 06 16,alternative data platform new years post,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/22/my-first-us-sql-saturday-and-pass-summit-visits/,2021 06 16,my first us sql saturday and pass summit visits,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/03/20/amount-of-powershell-used-to-work-with-sql-server/,2021 06 16,amount of powershell used to work with sql server,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/10/04/speaking-at-sql-saturday-torun/,2021 06 16,speaking at sql saturday torun,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/01/31/applications-for-data-platform-professionals-to-install-locally-for-sql-server-in-azure/,2021 06 16,applications for data platform professionals to install locally for sql server in azure,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/01/a-one-stop-post-for-data-platform-one-stop-posts/,2021 06 16,a one stop post for data platform one stop posts,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/06/sql-server-related-services-available-with-top-four-cloud-providers/,2021 06 16,sql server related services available with top four cloud providers,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/07/17/powershell-modules-on-every-sql-server/,2021 06 16,powershell modules on every sql server,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/10/azure-stack-for-the-sql-server-professional/,2021 06 16,azure stack for the sql server professional,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/05/20/interesting-sql-server-2019-findings-testing-sp_estimate_data_compression_savings/,2021 06 16,interesting sql server 2019 findings testing sp_estimate_data_compression_savings,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/08/21/fantastic-azure-sql-database-managed-instances-update/,2021 06 16,fantastic azure sql database managed instances update,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/29/upgrading-to-latest-sql-server-2019-ctp-on-linux-using-local-repository/,2021 06 16,upgrading to latest sql server 2019 ctp on linux using local repository,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/07/03/new-certification-and-sql-saturday-cork/,2021 06 16,new certification and sql saturday cork,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/02/21/speaking-at-sqlbits/,2021 06 16,speaking at sqlbits,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/05/27/upgrading-to-sql-server-2019-ctp-3/,2021 06 16,upgrading to sql server 2019 ctp 3,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/07/29/sql-server-2019-ctp-3-2-now-available/,2021 06 16,sql server 2019 ctp 3 2 now available,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/30/zombie-spids-a-true-sql-server-horror-story/,2021 06 16,zombie spids a true sql server horror story,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/27/list-of-all-posts-published-since-pass-summit/,2021 06 16,list of all posts published since pass summit,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/08/13/t-sql-tuesday-117-memory-optimized-tables/,2021 06 16,t sql tuesday 117 memory optimized tables,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/08/19/microsoft-professional-program-retiring-thoughts/,2021 06 17,microsoft professional program retiring thoughts,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/10/using-local-repositories-with-sql-server-on-linux/,2021 06 17,using local repositories with sql server on linux,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/10/09/database-adventure-at-dataminds-connect/,2021 06 17,database adventure at dataminds connect,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/03/hosting-sql-server-on-vmware/,2021 06 17,hosting sql server on vmware,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/08/26/sql-server-2019-release-candidate-released/,2021 06 17,sql server 2019 release candidate released,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/25/voting-for-sqlbits-general-sessions-is-now-open/,2021 06 17,voting for sqlbits general sessions is now open,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/02/06/moving-to-the-netherlands-and-starting-a-new-sql-server-job-there/,2021 06 17,moving to the netherlands and starting a new sql server job there,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/05/17/dataweekender-v3-1-conference-experience/,2021 06 18,dataweekender v3 1 conference experience,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/05/05/dp-203-azure-data-engineering-exam-is-now-ga/,2021 06 18,dp 203 azure data engineering exam is now ga,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/03/29/clear-up-confusion-about-different-versions-of-azure-devops/,2021 06 18,clear up confusion about different versions of azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/15/sql-server-2019-database-scoped-settings-for-indexes-discovery/,2021 06 18,sql server 2019 database scoped settings for indexes discovery,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/07/23/personal-sql-server-2019-lab-review/,2021 06 18,personal sql server 2019 lab review,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/17/maintaining-your-larger-databases-better-part-4-recommended-free-tools-for-the-job/,2021 06 20,maintaining your larger databases better part 4 recommended free tools for the job,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/30/maintaining-your-larger-databases-better-part-2-2/,2021 06 20,maintaining your larger databases better part 2 2,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/29/maintaining-your-larger-databases-better-part-1/,2021 06 20,maintaining your larger databases better part 1,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/12/maintaining-your-larger-databases-better-part-3-recommended-sql-server-dmvs/,2021 06 20,maintaining your larger databases better part 3 recommended sql server dmvs,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/18/updates-about-what-linux-distributions-you-can-install-sql-server-on/,2021 06 29,updates about what linux distributions you can install sql server on,blog
